Dataset ID,Dataset Name,Original Accuracy,Original Precision,Original Recall,Original F1,Original Log Loss,Unlearned Accuracy,Unlearned Precision,Unlearned Recall,Unlearned F1,Unlearned Log Loss,Retrained Accuracy,Retrained Precision,Retrained Recall,Retrained F1,Retrained Log Loss,Accuracy Difference,Precision Difference,Recall Difference,F1 Difference,Log Loss Difference,Samples Removed
4,labor,0.9166666666666666,0.8888888888888888,1.0,0.9411764705882353,0.36135926085141584,0.9166666666666666,0.8888888888888888,1.0,0.9411764705882353,0.36135926085141584,0.75,0.7272727272727273,1.0,0.8421052631578947,0.4288849564169382,0.16666666666666663,0.16161616161616155,0.0,0.09907120743034059,0.06752569556552235,4
13,breast-cancer,0.7586206896551724,1.0,0.2222222222222222,0.36363636363636365,0.5353585728299243,0.7586206896551724,1.0,0.2222222222222222,0.36363636363636365,0.5353585728299243,0.8103448275862069,1.0,0.3888888888888889,0.56,0.5120421605177503,0.051724137931034475,0.0,0.16666666666666669,0.1963636363636364,0.023316412312173962,22
15,breast-w,0.9571428571428572,0.9534883720930233,0.9111111111111111,0.9318181818181818,0.24773321714318644,0.9571428571428572,0.9534883720930233,0.9111111111111111,0.9318181818181818,0.24773321714318644,0.95,0.9318181818181818,0.9111111111111111,0.9213483146067416,0.2540786899806298,0.0071428571428572285,0.021670190274841516,0.0,0.010469867211440165,0.006345472837443383,55
25,colic,0.8648648648648649,0.8636363636363636,0.7307692307692307,0.7916666666666666,0.4129783346585963,0.8648648648648649,0.8636363636363636,0.7307692307692307,0.7916666666666666,0.4129783346585963,0.8513513513513513,0.8260869565217391,0.7307692307692307,0.7755102040816326,0.4411611981811754,0.013513513513513598,0.03754940711462451,0.0,0.016156462585034004,0.028182863522579094,29
27,colic,0.8648648648648649,0.88,0.9166666666666666,0.8979591836734694,0.4198042458385821,0.8648648648648649,0.88,0.9166666666666666,0.8979591836734694,0.4198042458385821,0.8783783783783784,0.8823529411764706,0.9375,0.9090909090909091,0.42485440949864517,0.013513513513513487,0.0023529411764705577,0.02083333333333337,0.011131725417439675,0.005050163660063056,29
29,credit-approval,0.8115942028985508,0.7916666666666666,0.8382352941176471,0.8142857142857143,0.47617620922864323,0.8115942028985508,0.7916666666666666,0.8382352941176471,0.8142857142857143,0.47617620922864323,0.782608695652174,0.7567567567567568,0.8235294117647058,0.7887323943661971,0.49024865853844185,0.02898550724637683,0.03490990990990983,0.014705882352941235,0.025553319919517148,0.014072449309798618,55
37,diabetes,0.7857142857142857,0.7619047619047619,0.5818181818181818,0.6597938144329897,0.5168966350771845,0.7857142857142857,0.7619047619047619,0.5818181818181818,0.6597938144329897,0.5168966350771845,0.7857142857142857,0.7391304347826086,0.6181818181818182,0.6732673267326733,0.5173872274642638,0.0,0.022774327122153215,0.036363636363636376,0.013473512299683632,0.0004905923870792694,61
40,sonar,0.7380952380952381,0.631578947368421,0.75,0.6857142857142857,0.5323433539774376,0.7380952380952381,0.631578947368421,0.75,0.6857142857142857,0.5323433539774376,0.7619047619047619,0.65,0.8125,0.7222222222222222,0.5581744700346928,0.023809523809523725,0.018421052631579005,0.0625,0.03650793650793649,0.025831116057255188,16
43,haberman,0.7096774193548387,0.5,0.2777777777777778,0.35714285714285715,0.5970492105700798,0.7096774193548387,0.5,0.2777777777777778,0.35714285714285715,0.5970492105700798,0.6774193548387096,0.4,0.2222222222222222,0.2857142857142857,0.5956355184592164,0.032258064516129115,0.09999999999999998,0.05555555555555558,0.07142857142857145,0.001413692110863396,24
49,heart-c,0.8360655737704918,0.8666666666666667,0.8125,0.8387096774193549,0.47164200661426464,0.8360655737704918,0.8666666666666667,0.8125,0.8387096774193549,0.47164200661426464,0.7868852459016393,0.8518518518518519,0.71875,0.7796610169491526,0.504883371969778,0.049180327868852514,0.014814814814814836,0.09375,0.0590486604702023,0.03324136535551331,24
50,tic-tac-toe,0.7447916666666666,0.7261904761904762,0.976,0.8327645051194539,0.5441997059156044,0.7447916666666666,0.7261904761904762,0.976,0.8327645051194539,0.5441997059156044,0.8072916666666666,0.7716049382716049,1.0,0.8710801393728222,0.5113683596149559,0.0625,0.04541446208112876,0.02400000000000002,0.03831563425336837,0.032831346300648545,76
