Dataset ID,Dataset Name,Original Accuracy,Original Precision,Original Recall,Original F1,Original Log Loss,Unlearned Accuracy,Unlearned Precision,Unlearned Recall,Unlearned F1,Unlearned Log Loss,Retrained Accuracy,Retrained Precision,Retrained Recall,Retrained F1,Retrained Log Loss,Accuracy Difference,Precision Difference,Recall Difference,F1 Difference,Log Loss Difference,Samples Removed
4,labor,0.9166666666666666,0.8888888888888888,1.0,0.9411764705882353,0.36135926085141584,0.9166666666666666,0.8888888888888888,1.0,0.9411764705882353,0.36135926085141584,0.8333333333333334,0.875,0.875,0.875,0.4041477422949507,0.08333333333333326,0.01388888888888884,0.125,0.06617647058823528,0.042788481443534865,22
13,breast-cancer,0.7586206896551724,1.0,0.2222222222222222,0.36363636363636365,0.5353585728299243,0.7586206896551724,1.0,0.2222222222222222,0.36363636363636365,0.5353585728299243,0.6724137931034483,0.0,0.0,0.0,0.6048551463727501,0.08620689655172409,1.0,0.2222222222222222,0.36363636363636365,0.06949657354282579,114
15,breast-w,0.9571428571428572,0.9534883720930233,0.9111111111111111,0.9318181818181818,0.24773321714318644,0.9571428571428572,0.9534883720930233,0.9111111111111111,0.9318181818181818,0.24773321714318644,0.9428571428571428,0.9512195121951219,0.8666666666666667,0.9069767441860465,0.25800380414955393,0.014285714285714346,0.0022688598979013763,0.0444444444444444,0.02484143763213531,0.010270587006367488,279
25,colic,0.8648648648648649,0.8636363636363636,0.7307692307692307,0.7916666666666666,0.4129783346585963,0.8648648648648649,0.8636363636363636,0.7307692307692307,0.7916666666666666,0.4129783346585963,0.8648648648648649,0.8636363636363636,0.7307692307692307,0.7916666666666666,0.4255965436045175,0.0,0.0,0.0,0.0,0.012618208945921194,147
27,colic,0.8648648648648649,0.88,0.9166666666666666,0.8979591836734694,0.4198042458385821,0.8648648648648649,0.88,0.9166666666666666,0.8979591836734694,0.4198042458385821,0.8513513513513513,0.8627450980392157,0.9166666666666666,0.8888888888888888,0.4251471253809169,0.013513513513513598,0.017254901960784275,0.0,0.009070294784580546,0.005342879542334811,147
29,credit-approval,0.8115942028985508,0.7916666666666666,0.8382352941176471,0.8142857142857143,0.47617620922864323,0.8115942028985508,0.7916666666666666,0.8382352941176471,0.8142857142857143,0.47617620922864323,0.782608695652174,0.7375,0.8676470588235294,0.7972972972972973,0.49212274294927955,0.02898550724637683,0.054166666666666585,0.02941176470588236,0.01698841698841702,0.015946533720636313,276
37,diabetes,0.7857142857142857,0.7619047619047619,0.5818181818181818,0.6597938144329897,0.5168966350771845,0.7857142857142857,0.7619047619047619,0.5818181818181818,0.6597938144329897,0.5168966350771845,0.7857142857142857,0.72,0.6545454545454545,0.6857142857142857,0.5223598843901978,0.0,0.04190476190476189,0.07272727272727275,0.025920471281296042,0.00546324931301323,307
40,sonar,0.7380952380952381,0.631578947368421,0.75,0.6857142857142857,0.5323433539774376,0.7380952380952381,0.631578947368421,0.75,0.6857142857142857,0.5323433539774376,0.6904761904761905,0.5789473684210527,0.6875,0.6285714285714286,0.5996047195196531,0.04761904761904767,0.05263157894736836,0.0625,0.05714285714285716,0.06726136554221551,83
43,haberman,0.7096774193548387,0.5,0.2777777777777778,0.35714285714285715,0.5970492105700798,0.7096774193548387,0.5,0.2777777777777778,0.35714285714285715,0.5970492105700798,0.6612903225806451,0.2,0.05555555555555555,0.08695652173913043,0.6241947557032269,0.048387096774193616,0.3,0.22222222222222224,0.2701863354037267,0.027145545133147153,122
49,heart-c,0.8360655737704918,0.8666666666666667,0.8125,0.8387096774193549,0.47164200661426464,0.8360655737704918,0.8666666666666667,0.8125,0.8387096774193549,0.47164200661426464,0.819672131147541,0.92,0.71875,0.8070175438596491,0.4846129517998893,0.016393442622950838,0.053333333333333344,0.09375,0.03169213355970579,0.012970945185624638,121
50,tic-tac-toe,0.7447916666666666,0.7261904761904762,0.976,0.8327645051194539,0.5441997059156044,0.7447916666666666,0.7261904761904762,0.976,0.8327645051194539,0.5441997059156044,0.7291666666666666,0.7062146892655368,1.0,0.8278145695364238,0.5523618747475884,0.015625,0.019975786924939398,0.02400000000000002,0.0049499355830300296,0.008162168831983951,383
51,heart-h,0.864406779661017,0.782608695652174,0.8571428571428571,0.8181818181818182,0.4374263955053091,0.864406779661017,0.782608695652174,0.8571428571428571,0.8181818181818182,0.4374263955053091,0.7966101694915254,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.4557608926252078,0.06779661016949157,0.06832298136645965,0.1428571428571428,0.10389610389610393,0.018334497119898707,117
52,trains,0.5,0.5,1.0,0.6666666666666666,0.6938972886111388,0.5,0.0,0.0,0.0,0.7971997928757284,0.5,0.0,0.0,0.0,0.7778039927247068,0.0,0.0,0.0,0.0,0.019395800151021603,4
53,heart-statlog,0.7777777777777778,0.7647058823529411,0.6190476190476191,0.6842105263157895,0.5001051034537389,0.7777777777777778,0.7647058823529411,0.6190476190476191,0.6842105263157895,0.5001051034537389,0.8148148148148148,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.4698301002449658,0.03703703703703698,0.0028011204481792618,0.1428571428571428,0.07769423558897237,0.030275003208773132,108
55,hepatitis,0.6774193548387096,0.75,0.875,0.8076923076923077,0.6510883550004847,0.6774193548387096,0.75,0.875,0.8076923076923077,0.6510883550004847,0.6774193548387096,0.7692307692307693,0.8333333333333334,0.8,0.6007017846793294,0.0,0.019230769230769273,0.04166666666666663,0.007692307692307665,0.05038657032115523,62
56,vote,0.9425287356321839,0.9333333333333333,0.9032258064516129,0.9180327868852459,0.253867867189635,0.9425287356321839,0.9333333333333333,0.9032258064516129,0.9180327868852459,0.253867867189635,0.9770114942528736,0.967741935483871,0.967741935483871,0.967741935483871,0.24284084709123455,0.034482758620689724,0.03440860215053765,0.06451612903225812,0.049709148598625075,0.011027020098400453,174
59,ionosphere,0.8873239436619719,0.8571428571428571,0.9767441860465116,0.9130434782608695,0.3639006869556416,0.8873239436619719,0.8571428571428571,0.9767441860465116,0.9130434782608695,0.3639006869556416,0.8873239436619719,0.8431372549019608,1.0,0.9148936170212766,0.36684758078289526,0.0,0.014005602240896309,0.023255813953488413,0.0018501387604070718,0.0029468938272536604,140
164,molecular-biology_promoters,0.8636363636363636,0.9,0.8181818181818182,0.8571428571428571,0.44615724883881747,0.8636363636363636,0.9,0.8181818181818182,0.8571428571428571,0.44615724883881747,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.48499523226260804,0.045454545454545414,0.08181818181818179,0.0,0.03896103896103886,0.03883798342379058,42
311,oil_spill,0.9840425531914894,1.0,0.5,0.6666666666666666,0.07875403678512408,0.9840425531914894,1.0,0.5,0.6666666666666666,0.07875403678512408,0.9840425531914894,0.8,0.6666666666666666,0.7272727272727273,0.06734711881924513,0.0,0.19999999999999996,0.16666666666666663,0.06060606060606066,0.011406917965878949,374
333,monks-problems-1,0.6964285714285714,1.0,0.45161290322580644,0.6222222222222222,0.5344057770556475,0.6964285714285714,1.0,0.45161290322580644,0.6222222222222222,0.5344057770556475,0.7410714285714286,1.0,0.532258064516129,0.6947368421052632,0.5189030668759561,0.044642857142857206,0.0,0.08064516129032256,0.07251461988304098,0.015502710179691404,222
334,monks-problems-2,0.628099173553719,0.0,0.0,0.0,0.6457925878205669,0.628099173553719,0.0,0.0,0.0,0.6457925878205669,0.6198347107438017,0.0,0.0,0.0,0.6453521503703784,0.008264462809917328,0.0,0.0,0.0,0.0004404374501885133,240
