Dataset ID,Dataset Name,Original Accuracy,Original Precision,Original Recall,Original F1,Original Log Loss,Unlearned Accuracy,Unlearned Precision,Unlearned Recall,Unlearned F1,Unlearned Log Loss,Retrained Accuracy,Retrained Precision,Retrained Recall,Retrained F1,Retrained Log Loss,Accuracy Difference,Precision Difference,Recall Difference,F1 Difference,Log Loss Difference,Samples Removed
4,labor,0.9166666666666666,0.8888888888888888,1.0,0.9411764705882353,0.36135926085141584,0.9166666666666666,0.8888888888888888,1.0,0.9411764705882353,0.36135926085141584,0.8333333333333334,1.0,0.75,0.8571428571428571,0.39258814556657656,0.08333333333333326,0.11111111111111116,0.25,0.08403361344537819,0.03122888471516072,22
13,breast-cancer,0.7586206896551724,1.0,0.2222222222222222,0.36363636363636365,0.5353585728299243,0.7586206896551724,1.0,0.2222222222222222,0.36363636363636365,0.5353585728299243,0.7068965517241379,0.6,0.16666666666666666,0.2608695652173913,0.5452908980611518,0.051724137931034475,0.4,0.05555555555555555,0.10276679841897235,0.009932325231227557,114
15,breast-w,0.9571428571428572,0.9534883720930233,0.9111111111111111,0.9318181818181818,0.24773321714318644,0.9571428571428572,0.9534883720930233,0.9111111111111111,0.9318181818181818,0.24773321714318644,0.9428571428571428,0.9302325581395349,0.8888888888888888,0.9090909090909091,0.2561075031404612,0.014285714285714346,0.023255813953488413,0.022222222222222254,0.022727272727272707,0.008374285997274772,279
25,colic,0.8648648648648649,0.8636363636363636,0.7307692307692307,0.7916666666666666,0.4129783346585963,0.8648648648648649,0.8636363636363636,0.7307692307692307,0.7916666666666666,0.4129783346585963,0.8648648648648649,0.8636363636363636,0.7307692307692307,0.7916666666666666,0.4422025873994802,0.0,0.0,0.0,0.0,0.029224252740883916,147
27,colic,0.8648648648648649,0.88,0.9166666666666666,0.8979591836734694,0.4198042458385821,0.8648648648648649,0.88,0.9166666666666666,0.8979591836734694,0.4198042458385821,0.8378378378378378,0.8333333333333334,0.9375,0.8823529411764706,0.4594889525552539,0.027027027027027084,0.046666666666666634,0.02083333333333337,0.015606242496998823,0.03968470671667179,147
29,credit-approval,0.8115942028985508,0.7916666666666666,0.8382352941176471,0.8142857142857143,0.47617620922864323,0.8115942028985508,0.7916666666666666,0.8382352941176471,0.8142857142857143,0.47617620922864323,0.7608695652173914,0.6923076923076923,0.9264705882352942,0.7924528301886793,0.516754573494451,0.050724637681159424,0.09935897435897434,0.08823529411764708,0.021832884097034988,0.04057836426580774,276
37,diabetes,0.7857142857142857,0.7619047619047619,0.5818181818181818,0.6597938144329897,0.5168966350771845,0.7857142857142857,0.7619047619047619,0.5818181818181818,0.6597938144329897,0.5168966350771845,0.7597402597402597,0.6666666666666666,0.6545454545454545,0.6605504587155964,0.5307739436879714,0.025974025974025983,0.09523809523809523,0.07272727272727275,0.0007566442826066888,0.013877308610786843,307
40,sonar,0.7380952380952381,0.631578947368421,0.75,0.6857142857142857,0.5323433539774376,0.7380952380952381,0.631578947368421,0.75,0.6857142857142857,0.5323433539774376,0.7142857142857143,0.6428571428571429,0.5625,0.6,0.5516985524908645,0.023809523809523836,0.011278195488721887,0.1875,0.08571428571428574,0.01935519851342693,83
43,haberman,0.7096774193548387,0.5,0.2777777777777778,0.35714285714285715,0.5970492105700798,0.7096774193548387,0.5,0.2777777777777778,0.35714285714285715,0.5970492105700798,0.6774193548387096,0.4166666666666667,0.2777777777777778,0.3333333333333333,0.6155175024275413,0.032258064516129115,0.08333333333333331,0.0,0.023809523809523836,0.018468291857461572,122
49,heart-c,0.8360655737704918,0.8666666666666667,0.8125,0.8387096774193549,0.47164200661426464,0.8360655737704918,0.8666666666666667,0.8125,0.8387096774193549,0.47164200661426464,0.7377049180327869,0.7857142857142857,0.6875,0.7333333333333333,0.5278886593138482,0.09836065573770492,0.080952380952381,0.125,0.10537634408602159,0.056246652699583566,121
50,tic-tac-toe,0.7447916666666666,0.7261904761904762,0.976,0.8327645051194539,0.5441997059156044,0.7447916666666666,0.7261904761904762,0.976,0.8327645051194539,0.5441997059156044,0.7447916666666666,0.7183908045977011,1.0,0.8361204013377926,0.5545579753610165,0.0,0.007799671592775059,0.02400000000000002,0.003355896218338761,0.010358269445412072,383
