Dataset ID,Dataset Name,Original Accuracy,Original Precision,Original Recall,Original F1,Original Log Loss,Unlearned Accuracy,Unlearned Precision,Unlearned Recall,Unlearned F1,Unlearned Log Loss,Retrained Accuracy,Retrained Precision,Retrained Recall,Retrained F1,Retrained Log Loss,Accuracy Difference,Precision Difference,Recall Difference,F1 Difference,Log Loss Difference,Samples Removed
750,pm10,0.54,0.5396825396825397,0.6666666666666666,0.5964912280701754,0.6847332176283443,0.54,0.5396825396825397,0.6666666666666666,0.5964912280701754,0.6847332176283443,0.55,0.5483870967741935,0.6666666666666666,0.6017699115044248,0.6887344817802501,0.010000000000000009,0.008704557091653853,0.0,0.0052786834342494204,0.004001264151905826,40
753,wisconsin,0.48717948717948717,0.5185185185185185,0.6666666666666666,0.5833333333333334,0.6755934225378285,0.48717948717948717,0.5185185185185185,0.6666666666666666,0.5833333333333334,0.6755934225378285,0.5897435897435898,0.6086956521739131,0.6666666666666666,0.6363636363636364,0.6632981932448767,0.10256410256410259,0.09017713365539459,0.0,0.05303030303030298,0.012295229292951793,15
754,fri_c0_100_5,0.8,1.0,0.6923076923076923,0.8181818181818182,0.46794668246173493,0.8,1.0,0.6923076923076923,0.8181818181818182,0.46794668246173493,0.75,1.0,0.6153846153846154,0.7619047619047619,0.5256825413223164,0.050000000000000044,0.0,0.07692307692307687,0.05627705627705637,0.05773585886058147,8
755,sleuth_ex1605,0.7692307692307693,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.553431336289078,0.7692307692307693,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.553431336289078,0.7692307692307693,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.5757553567471702,0.0,0.0,0.0,0.0,0.02232402045809212,4
756,autoPrice,0.875,0.95,0.8636363636363636,0.9047619047619048,0.31727663501450754,0.875,0.95,0.8636363636363636,0.9047619047619048,0.31727663501450754,0.875,0.95,0.8636363636363636,0.9047619047619048,0.30657009430909476,0.0,0.0,0.0,0.0,0.01070654070541277,12
757,meta,0.8962264150943396,0.8962264150943396,1.0,0.945273631840796,0.2659741046807146,0.8962264150943396,0.8962264150943396,1.0,0.945273631840796,0.2659741046807146,0.8962264150943396,0.8962264150943396,1.0,0.945273631840796,0.2636743513123667,0.0,0.0,0.0,0.0,0.0022997533683478677,42
758,analcatdata_election2000,0.9285714285714286,1.0,0.8571428571428571,0.9230769230769231,0.2853822084165906,0.9285714285714286,1.0,0.8571428571428571,0.9230769230769231,0.2853822084165906,0.9285714285714286,1.0,0.8571428571428571,0.9230769230769231,0.2864769323348906,0.0,0.0,0.0,0.0,0.0010947239182999557,5
759,analcatdata_olympic2000,1.0,1.0,1.0,1.0,0.19927364516891408,1.0,1.0,1.0,1.0,0.19927364516891408,1.0,1.0,1.0,1.0,0.19756021146365346,0.0,0.0,0.0,0.0,0.0017134337052606141,5
760,analcatdata_uktrainacc,1.0,1.0,1.0,1.0,0.10485543414292327,1.0,1.0,1.0,1.0,0.10485543414292327,1.0,1.0,1.0,1.0,0.07756310741938573,0.0,0.0,0.0,0.0,0.02729232672353754,2
762,fri_c2_100_10,0.9,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.3619953932856595,0.9,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.3619953932856595,0.85,0.75,1.0,0.8571428571428571,0.4279019352098066,0.050000000000000044,0.13888888888888884,0.11111111111111116,0.031746031746031744,0.06590654192414713,8
763,fri_c0_250_10,0.8,0.8333333333333334,0.7692307692307693,0.8,0.528267837948441,0.8,0.8333333333333334,0.7692307692307693,0.8,0.528267837948441,0.76,0.8181818181818182,0.6923076923076923,0.75,0.533664420782922,0.040000000000000036,0.015151515151515138,0.07692307692307698,0.050000000000000044,0.005396582834480967,20
764,analcatdata_apnea3,0.8888888888888888,0.8888888888888888,1.0,0.9411764705882353,0.29717417881359065,0.8888888888888888,0.8888888888888888,1.0,0.9411764705882353,0.29717417881359065,0.8888888888888888,0.8888888888888888,1.0,0.9411764705882353,0.2828554565196735,0.0,0.0,0.0,0.0,0.014318722293917174,36
765,analcatdata_apnea2,0.8526315789473684,0.8526315789473684,1.0,0.9204545454545454,0.32383082299751015,0.8526315789473684,0.8526315789473684,1.0,0.9204545454545454,0.32383082299751015,0.8526315789473684,0.8526315789473684,1.0,0.9204545454545454,0.3227475841599585,0.0,0.0,0.0,0.0,0.0010832388375516255,38
766,fri_c1_500_50,0.78,0.7636363636363637,0.8235294117647058,0.7924528301886793,0.4841045278423329,0.78,0.7636363636363637,0.8235294117647058,0.7924528301886793,0.4841045278423329,0.77,0.7592592592592593,0.803921568627451,0.780952380952381,0.5150301384091577,0.010000000000000009,0.004377104377104368,0.019607843137254832,0.011500449236298338,0.0309256105668248,40
767,analcatdata_apnea1,0.8842105263157894,0.8842105263157894,1.0,0.9385474860335196,0.2938057948511103,0.8842105263157894,0.8842105263157894,1.0,0.9385474860335196,0.2938057948511103,0.8736842105263158,0.9,0.9642857142857143,0.9310344827586207,0.280553020650722,0.010526315789473606,0.015789473684210575,0.0357142857142857,0.0075130032748988995,0.013252774200388284,38
768,fri_c3_100_25,0.65,0.5,0.42857142857142855,0.46153846153846156,0.621563155935337,0.65,0.5,0.42857142857142855,0.46153846153846156,0.621563155935337,0.75,0.75,0.42857142857142855,0.5454545454545454,0.5173604754071937,0.09999999999999998,0.25,0.0,0.08391608391608385,0.1042026805281433,8
769,fri_c1_250_50,0.74,0.7058823529411765,0.6,0.6486486486486487,0.47263232688578527,0.74,0.7058823529411765,0.6,0.6486486486486487,0.47263232688578527,0.84,0.875,0.7,0.7777777777777778,0.4554041080728639,0.09999999999999998,0.16911764705882348,0.09999999999999998,0.1291291291291291,0.01722821881292136,20
770,strikes,0.856,0.825,0.9428571428571428,0.88,0.4293409203706503,0.856,0.825,0.9428571428571428,0.88,0.4293409203706503,0.848,0.8227848101265823,0.9285714285714286,0.87248322147651,0.4196226717335323,0.008000000000000007,0.0022151898734176223,0.014285714285714235,0.007516778523489975,0.00971824863711801,50
771,analcatdata_michiganacc,0.7272727272727273,0.6428571428571429,0.9,0.75,0.5326784153367587,0.7272727272727273,0.6428571428571429,0.9,0.75,0.5326784153367587,0.8636363636363636,0.8181818181818182,0.9,0.8571428571428571,0.47290634933998094,0.13636363636363635,0.17532467532467533,0.0,0.1071428571428571,0.05977206599677781,8
