Dataset ID,Dataset Name,Original Accuracy,Original Precision,Original Recall,Original F1,Original Log Loss,Unlearned Accuracy,Unlearned Precision,Unlearned Recall,Unlearned F1,Unlearned Log Loss,Retrained Accuracy,Retrained Precision,Retrained Recall,Retrained F1,Retrained Log Loss,Accuracy Difference,Precision Difference,Recall Difference,F1 Difference,Log Loss Difference,Samples Removed
4,labor,0.9166666666666666,0.8888888888888888,1.0,0.9411764705882353,0.36135926085141584,0.9166666666666666,0.8888888888888888,1.0,0.9411764705882353,0.36135926085141584,0.8333333333333334,1.0,0.75,0.8571428571428571,0.38501864051580686,0.08333333333333326,0.11111111111111116,0.25,0.08403361344537819,0.023659379664391023,9
13,breast-cancer,0.7586206896551724,1.0,0.2222222222222222,0.36363636363636365,0.5353585728299243,0.7586206896551724,1.0,0.2222222222222222,0.36363636363636365,0.5353585728299243,0.7586206896551724,1.0,0.2222222222222222,0.36363636363636365,0.5292209968477452,0.0,0.0,0.0,0.0,0.006137575982179122,45
15,breast-w,0.9571428571428572,0.9534883720930233,0.9111111111111111,0.9318181818181818,0.24773321714318644,0.9571428571428572,0.9534883720930233,0.9111111111111111,0.9318181818181818,0.24773321714318644,0.95,0.9318181818181818,0.9111111111111111,0.9213483146067416,0.24846745317983385,0.0071428571428572285,0.021670190274841516,0.0,0.010469867211440165,0.0007342360366474066,111
25,colic,0.8648648648648649,0.8636363636363636,0.7307692307692307,0.7916666666666666,0.4129783346585963,0.8648648648648649,0.8636363636363636,0.7307692307692307,0.7916666666666666,0.4129783346585963,0.8648648648648649,0.8636363636363636,0.7307692307692307,0.7916666666666666,0.4064549655271543,0.0,0.0,0.0,0.0,0.0065233691314419695,58
27,colic,0.8648648648648649,0.88,0.9166666666666666,0.8979591836734694,0.4198042458385821,0.8648648648648649,0.88,0.9166666666666666,0.8979591836734694,0.4198042458385821,0.8783783783783784,0.8823529411764706,0.9375,0.9090909090909091,0.40624697559982553,0.013513513513513487,0.0023529411764705577,0.02083333333333337,0.011131725417439675,0.01355727023875658,58
29,credit-approval,0.8115942028985508,0.7916666666666666,0.8382352941176471,0.8142857142857143,0.47617620922864323,0.8115942028985508,0.7916666666666666,0.8382352941176471,0.8142857142857143,0.47617620922864323,0.8478260869565217,0.7974683544303798,0.9264705882352942,0.8571428571428571,0.4428533597885383,0.03623188405797095,0.005801687763713148,0.08823529411764708,0.042857142857142816,0.03332284944010494,110
37,diabetes,0.7857142857142857,0.7619047619047619,0.5818181818181818,0.6597938144329897,0.5168966350771845,0.7857142857142857,0.7619047619047619,0.5818181818181818,0.6597938144329897,0.5168966350771845,0.7792207792207793,0.7837837837837838,0.5272727272727272,0.6304347826086957,0.5151326876544073,0.00649350649350644,0.02187902187902191,0.054545454545454564,0.029359031824294002,0.00176394742277719,122
40,sonar,0.7380952380952381,0.631578947368421,0.75,0.6857142857142857,0.5323433539774376,0.7380952380952381,0.631578947368421,0.75,0.6857142857142857,0.5323433539774376,0.7380952380952381,0.631578947368421,0.75,0.6857142857142857,0.5676383289646286,0.0,0.0,0.0,0.0,0.03529497498719103,33
43,haberman,0.7096774193548387,0.5,0.2777777777777778,0.35714285714285715,0.5970492105700798,0.7096774193548387,0.5,0.2777777777777778,0.35714285714285715,0.5970492105700798,0.6935483870967742,0.42857142857142855,0.16666666666666666,0.24,0.6097286830304176,0.016129032258064502,0.07142857142857145,0.11111111111111113,0.11714285714285716,0.012679472460337848,48
49,heart-c,0.8360655737704918,0.8666666666666667,0.8125,0.8387096774193549,0.47164200661426464,0.8360655737704918,0.8666666666666667,0.8125,0.8387096774193549,0.47164200661426464,0.819672131147541,0.8620689655172413,0.78125,0.819672131147541,0.503660050205169,0.016393442622950838,0.0045977011494253706,0.03125,0.019037546271813865,0.03201804359090438,48
50,tic-tac-toe,0.7447916666666666,0.7261904761904762,0.976,0.8327645051194539,0.5441997059156044,0.7447916666666666,0.7261904761904762,0.976,0.8327645051194539,0.5441997059156044,0.7135416666666666,0.7034883720930233,0.968,0.8148148148148148,0.564921117076285,0.03125,0.02270210409745288,0.008000000000000007,0.01794969030463911,0.020721411160680603,153
